,,,,,,Material Wise GRN Report ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,From Date,2016-04-01,,ToDate,2020-04-28,,,,,Highrise,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GRN  No,GRN Date,GRNType,Supplier/Issu.Store,,Recd. Qty,,,Rate,Tax_Amount,Basic_Amount,,Total_Amount,,PO No,PO Qty,,Transport &Others,ChallanNo,,ChallanDt
Project ABC,,,,,,,,,,,,,,,,,,,,,
1 HP Curing motor,,,,,,,,,,,,,,,,,,,,,
107446,,Purchase,Saibaba Electricals,,,2.00,,No.,"4,107.14",985.72,,"8,214.28","9,200.00",,18864,2.00,,0.00,,T/G/1754,
,,,,,,Recd. Store,Project ABC store,,,,,Supply of 1 HP Curing motor,,,,,,,,,
121932,,Purchase,Saibaba Electricals,,,1.00,,No.,"4,107.14",492.86,,"4,107.14","4,600.00",,21154,1.00,,0.00,,4725,
,,,,,,Recd. Store,Project ABC store,,,,,for site curing work,,,,,,,,,
126298,,Purchase,Saibaba Electricals,,,3.00,,No.,"4,107.14","1,478.58",,"12,321.42","13,800.00",,21900,3.00,,0.00,,5413,
,,,,,,Recd. Store,Project ABC store,,,,,for site area lighting work,,,,,,,,,
,,,,,,,,,,"2,957.16",,,,,,,,,,,
,,,,,,,,,,,,,"27,600.00",,,,,,,,
1 HP DOL Starter,,,,,,,,,,,,,,,,,,,,,
102935,,Purchase,Vijtech Enterprise,,,1.00,,,"1,016.95",183.06,,"1,016.95","1,200.01",,,,,0.00,,78,
,,,,,,Recd. Store,Project ABC store,,,,,Purchase Of Starter DOL 9-14 Qty 01 Nos Use For 5 HP Sub Pump,,,,,,,,,
112636,,Purchase,Saibaba Electricals,,,1.00,,,"1,650.00",297.00,,"1,650.00","1,947.00",,,,,0.00,,3026,
,,,,,,Recd. Store,Project ABC store,,,,,Against purchase of Sattarter 01 nos for Dewatring motor use,,,,,,,,,
130110,,Purchase,Saibaba Electricals,,,2.00,,No.,"1,398.30",503.38,,"2,796.60","3,299.98",,22432,2.00,,0.00,,6269,
,,,,,,Recd. Store,Project ABC store,,,,,for site elect work,,,,,,,,,
,,,,,,,,,,983.44,,,,,,,,,,,
,,,,,,,,,,,,,"6,446.99",,,,,,,,
1 Kg Hammer,,,,,,,,,,,,,,,,,,,,,
103971,,Purchase,Amruta Trading Company,,,4.00,,,155.00,111.60,,620.00,731.60,,,,,0.00,,78,
,,,,,,Recd. Store,Project ABC store,,,,,Purchase Of 1 kg Hammer  Qty 04 Nos @ 155/- Per Nos Use For Concrte  Work,,,,,,,,,
114279,,Purchase,Amruta Trading Company,,,1.00,,,"1,180.00",212.40,,"1,180.00","1,392.40",,,,,0.00,,372,
,,,,,,Recd. Store,Project ABC store,,,,,Purchase of Hammer 10 kg for site work   ,,,,,,,,,
120714,,Purchase,Amruta Trading Company,,,3.00,,,189.25,102.20,,567.75,669.95,,,,,0.00,,506,
,,,,,,Recd. Store,Project ABC store,,,,,Purchase of Hammer 03 nos @ Rs. 189.25 for site work,,,,,,,,,
