City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Pune,UberGo,COMPLETED,2020-03-03 16:34:26 +0000 UTC,2020-03-03 16:38:13 +0000 UTC,18.5332229,73.8971453,"A1, Aadit Enclave Building, Lane Number 5, S Main Rd, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001, India",2020-03-03 17:12:27 +0000 UTC,18.4990567,73.8280433,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",7.01,168.03,INR
Pune,UberGo,COMPLETED,2020-03-03 14:06:31 +0000 UTC,2020-03-03 14:11:33 +0000 UTC,18.4991432,73.8279379,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",2020-03-03 15:36:15 +0000 UTC,18.5328933,73.8979283,"A1, Aadit Enclave Building, Lane Number 5, S Main Rd, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001, India",13.31,365.13,INR
Pune,UberAuto,COMPLETED,2020-02-27 15:10:34 +0000 UTC,2020-02-27 15:14:25 +0000 UTC,18.5191622,73.8771157,SGS Mall,2020-02-27 15:42:21 +0000 UTC,18.4990783,73.8279483,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",5.80,114.9,INR
Pune,UberGo,COMPLETED,2020-02-24 04:17:05 +0000 UTC,2020-02-24 04:24:48 +0000 UTC,18.5484851,73.7909777,"4, Baner - Pashan Link Rd, Pashan, Pune, Maharashtra 411021, India",2020-02-24 05:00:01 +0000 UTC,18.5086394,73.854284,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",6.99,327.05,INR
Pune,UberGo,COMPLETED,2020-02-14 09:40:03 +0000 UTC,2020-02-14 10:22:46 +0000 UTC,18.4992067,73.8279993,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",2020-02-14 11:09:03 +0000 UTC,18.5789958,73.9083575,"New Airport Rd, Pune International Airport Area, Lohegaon, Pune, Maharashtra 411032, India",10.69,511.93,INR
Pune,UberGo,CANCELED,2020-02-14 09:38:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.498977,73.827869,,1970-01-01 00:00:00 +0000 UTC,18.498977,73.827869,,0.00,0,INR
Pune,,UNFULFILLED,2020-01-09 13:48:34 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberAuto,CANCELED,2020-01-09 13:40:21 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.5365517,73.89672,,1970-01-01 00:00:00 +0000 UTC,18.5365383,73.8963183,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberAuto,COMPLETED,2020-01-09 12:32:35 +0000 UTC,2020-01-09 12:35:34 +0000 UTC,18.5085976,73.8542258,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",2020-01-09 13:08:41 +0000 UTC,18.5369149,73.8972232,"Lane Number 5, Suyojana Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",4.55,107.08,INR
Pune,UberAuto,CANCELED,2020-01-08 13:32:36 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberGo,CANCELED,2020-01-06 12:21:46 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.4889819,73.8572793,,1970-01-01 00:00:00 +0000 UTC,18.4949795,73.8579383,"295, Jethiram Bhima Shelar Path, Shivaji Co operative Housing Society, Gokhalenagar, Pune, Maharashtra 411016, India",0.00,0,INR
Pune,UberGo,COMPLETED,2019-12-29 12:03:04 +0000 UTC,2019-12-29 12:05:12 +0000 UTC,18.5374533,73.8971817,"Lane Number 5, Ganga Fortune Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001, India",2019-12-29 12:31:23 +0000 UTC,18.5159383,73.8406017,"Deccan Gymkhana, Pune, Maharashtra 411004, India",5.81,153.04,INR
Pune,UberGo,COMPLETED,2019-12-29 07:13:35 +0000 UTC,2019-12-29 07:19:19 +0000 UTC,18.4991466,73.8280047,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",2019-12-29 07:55:14 +0000 UTC,18.5332602,73.8971235,"A1, Aadit Enclave Building, Lane Number 5, S Main Rd, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001, India",6.88,182.81,INR
Delhi NCR,UberGo,COMPLETED,2019-11-22 12:13:19 +0000 UTC,2019-11-22 12:34:09 +0000 UTC,28.567439,77.2468767,"J-2, Feroze Gandhi Rd, Block J, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024, India",2019-11-22 13:46:19 +0000 UTC,28.6508167,77.3057383,"Plot No.439, Jagriti Enclave, Near Karkardooma Metro Station, Anand Vihar, Delhi, 110092, India",11.52,413.78,INR
Pune,UberGo,CANCELED,2019-11-15 13:00:04 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.5042206,73.8529536,,1970-01-01 00:00:00 +0000 UTC,18.5042916,73.8535985,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberAuto,CANCELED,2019-11-15 12:58:08 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberAuto,CANCELED,2019-11-07 14:23:37 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberGo,CANCELED,2019-11-07 14:22:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberGo,CANCELED,2019-11-07 14:12:55 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberAuto,CANCELED,2019-11-07 14:11:40 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",0.00,0,INR
Pune,UberGo,DRIVER_CANCELED,2019-10-24 13:09:28 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.499995,73.8625707,,1970-01-01 00:00:00 +0000 UTC,18.5083171,73.8563306,"Deccan Gymkhana, Pune, Maharashtra 411004, India",0.00,42.5,INR
Pune,UberGo,COMPLETED,2019-10-15 04:49:50 +0000 UTC,2019-10-15 04:53:58 +0000 UTC,18.4990438,73.8278418,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",2019-10-15 05:32:01 +0000 UTC,18.5086616,73.8543195,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",3.59,150.52,INR
Pune,UberGo,COMPLETED,2019-10-04 14:23:24 +0000 UTC,2019-10-04 14:26:42 +0000 UTC,18.518735,73.8784683,"Moledina Road 6 Opposite Westend Theatre Camp Cantonment, Camp, Pune, Maharashtra 411001, India",2019-10-04 15:00:31 +0000 UTC,18.4991417,73.82805,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",5.02,171.12,INR
Pune,UberGo,COMPLETED,2019-10-04 12:13:41 +0000 UTC,2019-10-04 12:25:13 +0000 UTC,18.5085183,73.8540724,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",2019-10-04 12:44:18 +0000 UTC,18.5187498,73.878558,"Moledina Road 6 Opposite Westend Theatre Camp Cantonment, Camp, Pune, Maharashtra 411001, India",2.42,178.94,INR
Pune,UberGo,CANCELED,2019-10-03 03:59:17 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.5473978,73.7908972,,1970-01-01 00:00:00 +0000 UTC,18.5481169,73.7910965,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",0.00,0,INR
Udaipur,UberGo,COMPLETED,2019-09-29 07:04:32 +0000 UTC,2019-09-29 07:11:06 +0000 UTC,24.5951629,73.6874159,"Zinc Park, Udaipur, Rajasthan 313001, India",2019-09-29 08:01:04 +0000 UTC,24.6204746,73.8903037,"Near MP Airport, Dabok, Rajasthan 313022, India",17.33,400,INR
Udaipur,UberGo,COMPLETED,2019-09-29 06:14:51 +0000 UTC,2019-09-29 06:21:02 +0000 UTC,24.5773091,73.6695023,"Malla Talai Chowk, Trident Rd, near Pichola, Haridas Ji Ki Magri, Pichola, Udaipur, Rajasthan 313001, India",2019-09-29 06:36:59 +0000 UTC,24.5962182,73.6876503,"Hathipole, Chamanpura, Udaipur, Rajasthan 313001, India",2.72,112.31,INR
Udaipur,UberGo,COMPLETED,2019-09-27 11:48:53 +0000 UTC,2019-09-27 11:54:09 +0000 UTC,24.5771704,73.669696,"Malla Talai Chowk, Trident Rd, near Pichola, Haridas Ji Ki Magri, Pichola, Udaipur, Rajasthan 313001, India",2019-09-27 12:06:37 +0000 UTC,24.5826464,73.682121,"Chand Pole, Udaipur, Rajasthan 313001, India",2.02,96.51,INR
Pune,UberGo,COMPLETED,2019-09-26 16:25:37 +0000 UTC,2019-09-26 16:39:13 +0000 UTC,18.5191439,73.8305994,"3rd Floor, Pradeep Chambers Bhandarkar Road, Junction, Opp Idea Showroom, Law College Rd, Shivajinagar, Pune, Maharashtra 411004, India",2019-09-26 16:50:07 +0000 UTC,18.4991409,73.8280907,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",2.28,97.57,INR
Pune,UberGo,COMPLETED,2019-09-26 12:45:17 +0000 UTC,2019-09-26 12:55:39 +0000 UTC,18.5084874,73.8540821,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",2019-09-26 13:11:06 +0000 UTC,18.5190605,73.8308065,"3rd Floor, Pradeep Chambers Bhandarkar Road, Junction, Opp Idea Showroom, Law College Rd, Shivajinagar, Pune, Maharashtra 411004, India",2.22,114.71,INR
Pune,UberGo,COMPLETED,2019-08-20 13:04:47 +0000 UTC,2019-08-20 13:10:03 +0000 UTC,18.5084381,73.8540133,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",2019-08-20 13:39:13 +0000 UTC,18.4990455,73.8280009,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",3.16,102.21,INR
Pune,UberGo,COMPLETED,2019-08-16 03:33:36 +0000 UTC,2019-08-16 03:36:48 +0000 UTC,18.5484701,73.7910506,"4, Baner - Pashan Link Rd, Pashan, Pune, Maharashtra 411021, India",2019-08-16 04:10:42 +0000 UTC,18.508493,73.8540369,"Off, 1326, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002, India",6.94,493.82,INR
Pune,UberGo,COMPLETED,2019-08-15 17:21:23 +0000 UTC,2019-08-15 17:36:59 +0000 UTC,18.5346869,73.8297779,The Pavillion ,2019-08-15 17:51:00 +0000 UTC,18.5487295,73.7902478,"4, Baner - Pashan Link Rd, Pashan, Pune, Maharashtra 411021, India",4.08,157.71,INR
Pune,UberGo,COMPLETED,2019-08-15 12:48:18 +0000 UTC,2019-08-15 13:03:26 +0000 UTC,18.4991553,73.8281635,"Plot No. 1, Shop No. 16/ 6, Erandwane C. H. S, Erandwane,, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",2019-08-15 13:39:05 +0000 UTC,18.5485609,73.7903913,"4, Baner - Pashan Link Rd, Pashan, Pune, Maharashtra 411021, India",8.01,277.44,INR
Seattle,UberEATS Marketplace,COMPLETED,2019-08-10 20:26:46 +0000 UTC,2019-08-11 02:23:20 +0000 UTC,47.619509,-122.3453046,,2019-08-11 02:23:20 +0000 UTC,47.619509,-122.3453046,,1.75,44.73,USD
Seattle,UberEATS Marketplace,CANCELED,2019-08-10 20:23:40 +0000 UTC,2019-08-10 20:24:28 +0000 UTC,47.5977323,-122.3260915,,2019-08-10 20:24:28 +0000 UTC,47.5977323,-122.3260915,,1.75,36.99,USD
